55104:
 num     #instances         #bytes  class name (module)
 127:           134           7504  java.util.Calendar$Builder (java.base@17.0.18)
 128:           306           7344  java.time.LocalDate (java.base@17.0.18)
 129:           153           7344  java.util.WeakHashMap (java.base@17.0.18)
 130:           298           7152  java.time.Instant (java.base@17.0.18)
 131:           149           7152  java.util.TreeMap (java.base@17.0.18)
 132:           293           7032  java.lang.StringBuilder (java.base@17.0.18)
 133:           125           7000  java.util.jar.JarFile (java.base@17.0.18)
 134:           290           6960  java.util.Date (java.base@17.0.18)
 135:           144           6912  sun.security.util.MemoryCache$SoftCacheEntry (java.base@17.0.18)
 136:           164           6560  java.io.FileDescriptor (java.base@17.0.18)
 137:            15           6360  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry; (java.xml@17.0.18)
 138:           263           6312  java.util.jar.Attributes$Name (java.base@17.0.18)
 139:           153           6120  java.util.HashMap$KeyIterator (java.base@17.0.18)
 140:           125           6000  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.18)
 141:            81           5832  java.util.regex.Matcher (java.base@17.0.18)
 142:           182           5824  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.18)
 143:            60           5760  [Lcom.sun.org.apache.xerces.internal.xni.QName; (java.xml@17.0.18)
 144:           120           5760  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute (java.xml@17.0.18)
 145:            15           5400  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl (java.xml@17.0.18)
 146:           225           5400  java.security.Provider$UString (java.base@17.0.18)
 147:           168           5376  mihon.reader.image.IntRect
 148:           168           5376  mihon.reader.image.TileKey
 149:           167           5344  java.util.ArrayList$Itr (java.base@17.0.18)
 150:           220           5280  java.util.ImmutableCollections$List12 (java.base@17.0.18)
 151:            14           5264  java.util.concurrent.ForkJoinWorkerThread (java.base@17.0.18)
 152:           164           5248  java.util.Collections$SynchronizedMap (java.base@17.0.18)
 153:           116           5224  [[I (java.base@17.0.18)
 154:           217           5208  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.18)
 155:            59           5192  sun.awt.image.BufImgSurfaceData (java.desktop@17.0.18)
 156:           216           5184  com.sun.org.apache.xerces.internal.util.XMLStringBuffer (java.xml@17.0.18)
 157:           159           5088  java.lang.Package (java.base@17.0.18)
 158:           309           4944  java.lang.Character$UnicodeBlock (java.base@17.0.18)
 159:           101           4848  sun.security.rsa.RSAPublicKeyImpl (java.base@17.0.18)
 160:           118           4720  java.math.BigDecimal (java.base@17.0.18)
 161:           144           4608  sun.security.x509.BasicConstraintsExtension (java.base@17.0.18)
 162:            82           4592  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit; (java.xml@17.0.18)
 163:            97           4576  [Ljava.lang.Integer; (java.base@17.0.18)
 164:           143           4576  sun.security.x509.KeyUsageExtension (java.base@17.0.18)
 165:           143           4576  sun.security.x509.SubjectKeyIdentifierExtension (java.base@17.0.18)
 166:           142           4544  java.io.File (java.base@17.0.18)
 167:            12           4512  com.sun.imageio.plugins.png.PNGMetadata (java.desktop@17.0.18)
 168:            93           4464  java.awt.image.SinglePixelPackedSampleModel (java.desktop@17.0.18)
 169:            92           4416  java.awt.image.DataBufferInt (java.desktop@17.0.18)
 170:            55           4400  java.net.URI (java.base@17.0.18)
 171:           135           4320  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer (java.xml@17.0.18)
 172:            90           4320  sun.java2d.loops.MaskBlit (java.desktop@17.0.18)
 173:           179           4296  java.util.ArrayDeque (java.base@17.0.18)
 174:            68           4256  [Ljava.lang.reflect.Method; (java.base@17.0.18)
 175:           171           4104  com.sun.org.apache.xerces.internal.xni.XMLString (java.xml@17.0.18)
 176:           256           4096  java.lang.Byte (java.base@17.0.18)
 177:           256           4096  java.lang.Short (java.base@17.0.18)
 178:           128           4096  java.util.zip.ZipFile$CleanableResource (java.base@17.0.18)
 179:           252           4032  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.18)
 180:           167           4008  com.sun.org.apache.xerces.internal.util.PropertyState (java.xml@17.0.18)
 181:           125           4000  java.io.RandomAccessFile (java.base@17.0.18)
 182:           243           3888  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.18)
 183:           121           3872  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.18)
 184:            95           3800  java.awt.image.BufferedImage (java.desktop@17.0.18)
 185:           113           3616  java.util.Stack (java.base@17.0.18)
 186:           148           3552  java.util.Collections$SetFromMap (java.base@17.0.18)
 187:            40           3520  java.util.regex.Pattern (java.base@17.0.18)
 188:           104           3512  [[C (java.base@17.0.18)
 189:           108           3488  [F (java.base@17.0.18)
 190:           144           3456  sun.security.util.BitArray (java.base@17.0.18)
 191:           144           3456  sun.security.util.Cache$EqualByteArray (java.base@17.0.18)
 192:           144           3456  sun.security.x509.CertificateExtensions (java.base@17.0.18)
 193:           144           3456  sun.security.x509.CertificateValidity (java.base@17.0.18)
 194:           142           3408  com.sun.org.apache.xerces.internal.util.FeatureState (java.xml@17.0.18)
 195:            85           3400  java.security.AccessControlContext (java.base@17.0.18)
 196:            84           3360  java.io.ObjectStreamField (java.base@17.0.18)
 197:            84           3360  java.lang.Package$VersionInfo (java.base@17.0.18)
 198:            83           3320  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.18)
 199:           101           3232  mihon.reader.memory.BoundedReaderMemoryBudget$Lease
 200:           132           3168  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.18)
 201:           128           3072  kotlin.coroutines.CombinedContext
 202:             2           3024  [Lsun.java2d.loops.GraphicsPrimitive; (java.desktop@17.0.18)
 203:            15           3000  com.sun.org.apache.xerces.internal.impl.XMLDTDScannerImpl (java.xml@17.0.18)
 204:           125           3000  java.util.zip.ZipFile$Source$Key (java.base@17.0.18)
 205:            62           2976  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.18)
 206:            92           2944  java.util.Hashtable$Entry (java.base@17.0.18)
 207:            15           2880  com.sun.org.apache.xerces.internal.parsers.XIncludeAwareParserConfiguration (java.xml@17.0.18)
 208:            89           2848  mihon.reader.image.BudgetedDecodedTile
 209:           178           2848  sun.security.x509.KeyIdentifier (java.base@17.0.18)
 210:            32           2816  com.twelvemonkeys.imageio.stream.BufferedChannelImageInputStream
 211:            70           2800  java.util.WeakHashMap$Entry (java.base@17.0.18)
 212:           170           2720  java.util.HashMap$EntrySet (java.base@17.0.18)
 213:            41           2640  [[B (java.base@17.0.18)
 214:            15           2640  com.sun.org.apache.xerces.internal.impl.dtd.XMLNSDTDValidator (java.xml@17.0.18)
 215:            55           2640  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.18)
 216:            20           2560  [Lsun.font.PhysicalFont; (java.desktop@17.0.18)
 217:            79           2528  java.lang.ref.PhantomReference (java.base@17.0.18)
 218:            62           2480  sun.security.util.MemoryCache (java.base@17.0.18)
 219:           103           2472  sun.java2d.StateTrackableDelegate (java.desktop@17.0.18)
 220:           154           2464  java.util.HashSet (java.base@17.0.18)
 221:            76           2432  sun.java2d.DefaultDisposerRecord (java.desktop@17.0.18)
 222:           147           2352  sun.security.x509.SerialNumber (java.base@17.0.18)
 223:            97           2328  java.security.spec.ECPoint (java.base@17.0.18)
 224:            58           2320  java.lang.ref.Finalizer (java.base@17.0.18)
 225:           144           2304  javax.security.auth.x500.X500Principal (java.base@17.0.18)
 226:            96           2304  mihon.reader.model.PageId
 227:           144           2304  sun.security.x509.CertificateAlgorithmId (java.base@17.0.18)
 228:           144           2304  sun.security.x509.CertificateSerialNumber (java.base@17.0.18)
 229:           144           2304  sun.security.x509.CertificateVersion (java.base@17.0.18)
 230:           144           2304  sun.security.x509.CertificateX509Key (java.base@17.0.18)
 231:            15           2280  com.sun.org.apache.xerces.internal.impl.XMLEntityManager (java.xml@17.0.18)
 232:            47           2256  sun.java2d.loops.MaskFill (java.desktop@17.0.18)
 233:            94           2256  sun.nio.fs.WindowsPathParser$Result (java.base@17.0.18)
 234:            56           2240  java.security.ProtectionDomain (java.base@17.0.18)
 235:            28           2240  org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry
 236:            20           2240  sun.security.provider.HashDrbg (java.base@17.0.18)
 237:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.18)
 238:            15           2160  com.sun.org.apache.xerces.internal.parsers.DOMParser (java.xml@17.0.18)
 239:           135           2160  com.sun.org.apache.xerces.internal.util.AugmentationsImpl (java.xml@17.0.18)
 240:            12           2128  [Ljava.util.Hashtable$Entry; (java.base@17.0.18)
 241:            53           2120  kotlinx.coroutines.flow.StateFlowImpl
 242:            53           2120  sun.security.util.NamedCurve (java.base@17.0.18)
 243:            66           2112  java.util.logging.LogManager$LogNode (java.logging@17.0.18)
 244:            88           2112  mihon.reader.cache.WeightedTileCache$Entry
 245:            87           2088  java.util.ImmutableCollections$Set12 (java.base@17.0.18)
 246:           129           2064  java.util.WeakHashMap$KeySet (java.base@17.0.18)
 247:           128           2048  java.lang.Character (java.base@17.0.18)
 248:            51           2040  java.security.CodeSource (java.base@17.0.18)
 249:            15           2040  okhttp3.OkHttpClient
 250:            42           2016  kotlinx.coroutines.internal.DispatchedContinuation
 251:            25           2000  [Lcom.github.junrar.unpack.ppm.SEE2Context;
 252:            50           1968  [Ljava.lang.reflect.Field; (java.base@17.0.18)
 253:            34           1920  [Ljdk.xml.internal.JdkProperty$State; (java.xml@17.0.18)
 254:            15           1920  com.sun.imageio.plugins.gif.GIFImageMetadata (java.desktop@17.0.18)
 255:            20           1920  sun.font.CompositeFont (java.desktop@17.0.18)
 256:            34           1904  java.lang.Module (java.base@17.0.18)
 257:           119           1904  okhttp3.CipherSuite
 258:            47           1880  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.18)
 259:            13           1872  [Ljava.lang.invoke.MemberName; (java.base@17.0.18)
 260:            18           1872  org.apache.commons.compress.archivers.zip.ZipFile
 261:            58           1856  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.18)
 262:            28           1792  org.apache.commons.compress.archivers.sevenz.Folder
 263:            74           1776  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.18)
 264:            72           1728  java.util.regex.Pattern$Slice (java.base@17.0.18)
 265:            54           1728  org.sqlite.SQLiteConfig$Pragma
 266:            24           1728  sun.nio.ch.FileChannelImpl (java.base@17.0.18)
 267:            43           1720  sun.security.ec.ECPublicKeyImpl (jdk.crypto.ec@17.0.18)
 268:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.18)
 269:            20           1664  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.18)
 270:            26           1664  java.nio.DirectByteBuffer (java.base@17.0.18)
 271:            50           1600  sun.java2d.loops.SurfaceType (java.desktop@17.0.18)
 272:            33           1584  java.time.temporal.ValueRange (java.base@17.0.18)
 273:            18           1584  mihon.desktop.library.model.HistoryWithDetails
 274:            49           1568  kotlin.collections.builders.ListBuilder
 275:            48           1536  com.sun.org.apache.xerces.internal.util.XMLResourceIdentifierImpl (java.xml@17.0.18)
 276:            19           1520  [Ljava.nio.ByteBuffer; (java.base@17.0.18)
 277:            63           1512  java.util.AbstractMap$SimpleImmutableEntry (java.base@17.0.18)
 278:            46           1472  java.awt.Rectangle (java.desktop@17.0.18)
 279:            17           1464  [Ljava.lang.Byte; (java.base@17.0.18)
 280:             1           1464  [Ljava.lang.Character$UnicodeBlock; (java.base@17.0.18)
 281:            30           1440  com.sun.jna.Structure$StructField
 282:            15           1440  com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDProcessor (java.xml@17.0.18)
 283:            36           1440  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17.0.18)
 284:            30           1440  sun.java2d.loops.DrawGlyphListAA (java.desktop@17.0.18)
 285:            59           1416  java.util.regex.Pattern$$Lambda$9/0x00000008000ac9b8 (java.base@17.0.18)
 286:            22           1408  [Ljdk.xml.internal.XMLSecurityManager$Limit; (java.xml@17.0.18)
 287:            44           1408  kotlinx.coroutines.ChildHandleNode
 288:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.18)
 289:            54           1400  [Ljava.security.ProtectionDomain; (java.base@17.0.18)
 290:            35           1400  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.18)
 291:            35           1400  sun.security.x509.AuthorityKeyIdentifierExtension (java.base@17.0.18)
 292:            58           1392  sun.awt.image.BufImgSurfaceManager (java.desktop@17.0.18)
 293:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@17.0.18)
 294:            43           1376  java.security.AlgorithmParameters (java.base@17.0.18)
 295:             1           1368  [Lsun.security.ssl.CipherSuite; (java.base@17.0.18)
 296:            17           1360  org.apache.commons.io.input.BoundedInputStream$Builder
 297:            18           1352  [D (java.base@17.0.18)
 298:            21           1344  sun.security.provider.SHA2$SHA256 (java.base@17.0.18)
 299:            81           1296  [Ljava.util.regex.IntHashSet; (java.base@17.0.18)
 300:             9           1296  [[Ljava.lang.Object; (java.base@17.0.18)
 301:            28           1296  [[S (java.base@17.0.18)
 302:            54           1296  java.lang.RuntimePermission (java.base@17.0.18)
 303:            27           1296  sun.java2d.loops.BlitBg (java.desktop@17.0.18)
 304:            32           1280  java.util.Formatter$FormatSpecifier (java.base@17.0.18)
 305:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.18)
 306:            39           1248  sun.nio.fs.NativeBuffer (java.base@17.0.18)
 307:            19           1216  java.security.SecureRandom (java.base@17.0.18)
 308:            30           1200  com.sun.org.apache.xerces.internal.impl.dtd.XMLEntityDecl (java.xml@17.0.18)
 309:            30           1200  com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType (java.xml@17.0.18)
 310:            30           1200  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager (java.xml@17.0.18)
 311:            30           1200  java.time.temporal.ChronoField (java.base@17.0.18)
 312:            15           1200  jdk.internal.reflect.DelegatingClassLoader (java.base@17.0.18)
 313:            30           1200  sun.security.ssl.SSLSessionContextImpl (java.base@17.0.18)
 314:            37           1184  [Ljdk.xml.internal.XMLSecurityManager$NameMap; (java.xml@17.0.18)
 315:            49           1176  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property; (java.xml@17.0.18)
 316:            21           1176  sun.nio.cs.UTF_16LE$Decoder (java.base@17.0.18)
 317:            29           1160  mihon.reader.image.ImageMetadata
 318:            18           1152  com.sun.org.apache.xerces.internal.dom.DeferredElementNSImpl (java.xml@17.0.18)
 319:            48           1152  java.util.ImmutableCollections$SetN (java.base@17.0.18)
 320:             2           1136  [Lsun.security.util.KnownOIDs; (java.base@17.0.18)
 321:            47           1128  mihon.reader.model.FrameId
 322:             4           1120  java.util.concurrent.ConcurrentHashMap$CounterCell (java.base@17.0.18)
 323:            28           1120  org.apache.commons.compress.archivers.sevenz.Coder
 324:            15           1080  com.sun.org.apache.xerces.internal.impl.XMLEntityScanner (java.xml@17.0.18)
 325:             9           1080  sun.awt.image.ByteInterleavedRaster (java.desktop@17.0.18)
 326:            15           1080  sun.security.ssl.SSLCipher (java.base@17.0.18)
 327:            19           1064  java.util.logging.Logger (java.logging@17.0.18)
 328:            19           1064  sun.java2d.loops.GraphicsPrimitiveProxy (java.desktop@17.0.18)
 329:             2           1056  [Ljava.lang.Long; (java.base@17.0.18)
 330:             2           1056  [Ljava.lang.Short; (java.base@17.0.18)
 331:            33           1056  java.util.Locale (java.base@17.0.18)
 332:            66           1056  java.util.regex.Pattern$$Lambda$7/0x00000008000aa2e8 (java.base@17.0.18)
 333:            33           1056  javax.imageio.spi.DigraphNode (java.desktop@17.0.18)
 334:            26           1040  java.awt.SystemColor (java.desktop@17.0.18)
 335:            26           1040  java.util.HashMap$EntryIterator (java.base@17.0.18)
 336:            26           1040  mihon.reader.source.WindowsNativeFileChannel
